track_id,track_name,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,2HPaUgqeutzr3jx5a9WyDV,spotify:album:2T8UlI17u5hwTqu6zkpkW7,183219,2020-03-27,86,0.43,0.7,6,-5.35,1,0.264,0.0902,0.0,0.216,0.731,158.373
2nMOodYNHBAQ3Kc1QNimZU,Cool,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,209583,2020-03-27,81,0.469,0.785,5,-4.015,0,0.0664,0.133,1.63e-06,0.0931,0.79,89.717
1nYeVF5vIBxMxfPoL0SIWg,Hallucinate,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,208505,2020-03-27,82,0.627,0.69,10,-5.396,0,0.138,0.0325,0.0,0.0742,0.628,122.054
6ZMct78FDodlW1QEWlmVTB,Delubyo,30mZI7Hw2MhoarTVYxfyZM,spotify:album:0K721sVPuc3fvLdkrhWEKP,305085,2020-03-27,48,0.324,0.625,6,-13.563,1,0.548,0.901,0.00705,0.104,0.109,59.776
6DXZiYUbrYgrVIhfX3U9Z2,Pretty Please,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,194607,2020-03-27,81,0.906,0.474,1,-6.124,1,0.194,0.0311,5.41e-06,0.286,0.654,106.977
4rPkN1FMzQyFNP9cLUGIIB,Love Again,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,258004,2020-03-27,81,0.66,0.668,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.984
6tw7xpKrZm9vHfymxBc52E,Patawad,0rZRTXEmmPmx6gt92tBqIc,spotify:album:64cjwPaR72rW2Wzm9uWE3c,277480,2020-03-27,51,0.417,0.21,6,-9.4,1,0.033,0.412,0.0,0.104,0.144,127.009
4POHzEwNTCYaIvqCUp3NnO,Old Me,5Rl15oVamLq7FbSb0NNBNy,spotify:album:0vX2Jo5xhltAA7kVdW2hwO,186785,2020-03-27,80,0.721,0.62,0,-3.639,1,0.0483,0.313,0.0,0.26,0.473,127.979
6uAFJ75WDAoAPyCWJAtvks,Good In Bed,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,218754,2020-03-27,80,0.727,0.701,5,-5.001,1,0.074,0.138,0.000191,0.168,0.653,94.027
0vQcyuMEfRBd21ojZ62N2L,Boys Will Be Boys,6M2wZ9GZgrQXHCFfjv46we,spotify:album:7fJJK56U9fHixgO0HQkhtI,166266,2020-03-27,79,0.766,0.485,3,-5.952,1,0.0349,0.41,0.0,0.102,0.522,124.99
