artist_id,artist_name,total_followers,genres,popularity
5iNrZmtVMtYev5M9yoWpEq,Seeb,140941,"['dance pop', 'edm', 'electro house', 'norwegian pop', 'pop', 'pop edm', 'tropical house']",75
63gbXCha1jpkrJJ9K5gGpR,ELI,23893,['german pop'],51
3zDRCqOhJXJfS2YWOEwGMC,Christopher,171848,['danish pop'],63
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,17395392,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",91
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,23928555,"['electropop', 'pop']",95
1frSJ3BwjRHE9jgMRQV5wC,Zookeepers,6624,['bass trap'],53
7aD2Ni3fUu66gklUFlvJi5,Kyle Juliano,55641,['opm'],51
2ZuweXv0TkfsidZOLZZoM2,HEDEGAARD,55564,"['danish electronic', 'danish pop', 'scandipop']",55
4ScCswdRlyA23odg9thgIO,Jess Glynne,2082440,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",78
39rKElzF7q6K4O2flycSEc,Chlara,29440,"['opm', 'viral pop']",56
2gBjLmx6zQnFGQJCAQpRgw,Nelly,1475662,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",76
5vBSrE1xujD2FXYRarbAXc,Years & Years,1311420,"['dance pop', 'edm', 'gauze pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",73
2DaxqgrOhkeH0fpeiQq2f4,Oasis,5062597,"['britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']",79
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,3083310,"['dance pop', 'pop', 'pop rap']",80
3mIj9lX2MWuHmhNCA7LSCW,The 1975,3930138,"['indie pop', 'modern alternative rock', 'modern rock', 'nu gaze', 'pop', 'rock']",80
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,8880447,"['chicago rap', 'melodic rap']",94
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,11497281,"['chicago rap', 'rap']",90
5cYJYBMg1n71v7cvthr1SO,Itchyworms,531556,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock']",54
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,1414955,['pop'],81
7uMh23xWiuR7zsNkuNcm2G,MNEK,206402,"['tropical house', 'uk contemporary r&b']",68
1ySGjTzzgiL3khDY9awOGU,Andrea Babierra,1175,['opm'],24
1AhjOkOLkbHUfcHDSErXQs,88rising,451647,['pop'],74
5LHRHt1k9lMyONurDHEdrp,Tyga,5561599,"['pop rap', 'rap', 'trap']",88
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,17535840,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",91
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,9246022,"['baroque pop', 'emo', 'modern rock']",84
4fpTMHe34LC5t3h5ztK8qu,The Carters,796319,"['pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",62
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,2622456,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']",77
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,799887,"['pop', 'post-teen pop']",82
7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,2423164,"['neo mellow', 'pop', 'pop rock', 'viral pop']",75
40JlNF1w2OiSOyj1nC4y0I,Joseph Vincent,186446,"['pop', 'viral pop']",67
1uuV1avDy9Eup5gYHXVG05,Amber Leigh Irish,7937,['viral pop'],54
7HXBbxW6YwU8lvgBew2p2A,Matt Johnson,24051,"['neo mellow', 'viral pop']",58
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,277478,"['electropop', 'indie pop', 'indietronica', 'pop', 'post-teen pop']",79
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,288952,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop edm', 'tropical house']",76
30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,93262,"['opm', 'pinoy indie']",56
5CiGnKThu5ctn9pBxv7DGa,benny blanco,518622,"['electropop', 'pop', 'pop rap', 'post-teen pop']",78
5qRSs6mvI17zrkJpOHkCoM,iKON,2420424,"['k-pop', 'k-pop boy group']",69
1klFdLh3pak3eOtJP0styY,Triple H,430698,['k-pop'],46
4RUeoFWpDZ3IxGR7LYPoYN,Angelina Cruz,29944,"['acoustic opm', 'opm']",39
7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,933022,"['opm', 'pinoy indie', 'pinoy rock']",63
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,4590290,"['emo rap', 'rap', 'trap']",80
3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,183150,"['edm', 'tropical house']",75
7h4j9YTJJuAHzLCc3KCvYu,Kina Grannis,369630,"['acoustic pop', 'neo mellow', 'pop rock', 'viral pop']",70
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,1046470,"['australian pop', 'pop']",80
5Y8eJDj37KhaEeqbVO7Ag1,PRETTYMUCH,825280,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",73
6MXu7TWZnmykwkXiRJeUMh,Imago,420091,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock', 'pop rock']",49
3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,48616,"['classic opm', 'opm']",41
0Vw76uk7P8yVtTClWyOhac,HONNE,821539,"['indie r&b', 'uk pop']",71
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,1551933,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",67
4LcUpNlXFEleaLlelmkv2R,Kris Kross Amsterdam,116693,"['dutch house', 'dutch pop', 'tropical house']",71
6auWB5YAlcKaHyrbTH66nd,No Rome,111117,"['indie pop', 'indietronica', 'pinoy indie']",58
65XA3lk0aG9XejO8y37jjD,the bird and the bee,136150,"['indie pop', 'la indie']",50
1foL9hLC9M6U94dINtOYfb,Girls' Generation-Oh!GG,115696,"['k-pop', 'k-pop girl group']",48
2X97ZAqRKRMYFIDqtvGgGc,Silk City,57130,"['edm', 'house']",67
4AVFqumd2ogHFlRbKIjp1t,Alesso,3329527,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",77
2NdeV5rLm47xAvogXrYhJX,Ciara,4284306,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",74
30DIeQNV9s1HEXyuCpGF4l,Khel Pangilinan,283922,['opm'],57
3MZsBdqDrRTJihTHQrO6Dq,Joji,2427911,"['alternative r&b', 'viral pop']",83
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,3180666,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",84
0n4a5imdLBN24fIrBWoqrv,Because,231567,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap']",59
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,5711089,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",78
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,3520339,"['emo rap', 'lgbtq+ hip hop']",86
0a4r2EnsevvHCukoJ1xFwJ,juan karlos,503064,"['opm', 'pinoy indie', 'pinoy rock']",59
55Aa2cqylxrFIXC767Z865,Lil Wayne,8970611,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",88
5HIZU0JzM0AgfItVOm4E08,This Band,998002,"['opm', 'pinoy indie', 'pinoy rock']",61
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,1836587,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",86
2TwRMSibtKhC7ZGypSl1el,Drei Rana,22706,"['acoustic opm', 'opm']",38
6sEgMZsruguWlnwVdiz4IX,Midnight Meetings,14966,['pinoy indie'],35
3bsQY9pFWVzUMxlSgGQuBn,Patch Quiwa,121632,['opm'],46
4q3ewBCX7sLwd24euuV69X,Bad Bunny,20326951,"['latin', 'reggaeton', 'trap latino']",100
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,5740168,"['florida rap', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1386141,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",85
5Z1CCuBsyhEHngq3U5IraY,Westlife,1531091,"['boy band', 'dance pop', 'europop']",73
2auC28zjQyVTsiZKNgPRGs,RM,2144531,"['k-hop', 'k-pop']",67
2cWZOOzeOm4WmBJRnD5R7I,Normani,809739,"['dance pop', 'pop', 'post-teen pop', 'r&b']",78
1dfeR4HaWDbWqFHLkxsg1d,Queen,24952214,"['glam rock', 'rock']",89
5r1tUTxVSgvBHnoDuDODPH,IZ*ONE,444767,"['k-pop', 'k-pop girl group']",70
5CY0QKsbUBpQJIE2yycsYi,Lil Eddie,21461,[],48
4gOc8TsQed9eqnqJct2c5v,K/DA,351030,['k-pop girl group'],60
3HqSLMAZ3g3d5poNaI7GOU,IU,1336636,"['k-pop', 'korean pop']",73
250b0Wlc5Vk0CoUsaCY84M,JENNIE,315824,['k-pop'],61
042sjIstxjQz7xhDkEayIE,Lavaado,7810,[],37
20sxb77xiYeusSH8cVdatc,Meek Mill,4077118,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",83
2JI8ViuZDBybY6Xd9ujUrb,Reese Lansangan,81539,"['opm', 'pinoy indie']",49
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,788271,"['dance pop', 'pop', 'post-teen pop']",79
3KovZIDNYgQY8chiNZo2ZF,Just Hush,125088,"['opm', 'pinoy indie', 'pinoy r&b', 'pinoy trap']",54
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,2875180,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",73
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,863355,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",69
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,1093111,"['adult standards', 'contemporary country', 'country', 'country road', 'modern country rock']",65
4x1nvY2FN8jxqAFA0DA02H,John Lennon,3308137,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock']",72
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,133072,"['adult standards', 'brill building pop', 'classic girl group', 'motown']",60
5v8jlSmAQfrkTjAlpUfWtu,Perry Como,231279,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",58
0MHgLfmQdutffmvWe5XBTN,Burl Ives,40243,"['adult standards', 'american folk revival', 'lounge']",48
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,1133206,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",74
1x9aBTOQP8VjLBgKVm81K6,Nef Medina,490,['opm'],22
7K78lVZ8XzkjfRSI7570FF,José Feliciano,175988,"['latin pop', 'puerto rican pop']",62
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,513689,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",65
4ivXbUYuZslF08Ca5EuJGc,Kithara,7168,['opm'],32
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,397868,"['album rock', 'art rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock']",59
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,4067721,"['adult standards', 'rock-and-roll', 'rockabilly']",79
3rXT3DX9OeNMfH8Thivxrk,Tres Hermanas,1956,['acoustic opm'],39
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,3029376,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",78
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,980044,"['australian dance', 'australian pop', 'dance pop', 'disco house', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop rock']",69
