Position,Track Name,Artist,Streams,URL,Date,Region
170,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,23649,https://open.spotify.com/track/5uu28fUesZMl89lf9CLrgN,2018-02-01,ph
171,No Games (feat. King Badger & Skusta Clee),Ex Battalion,23606,https://open.spotify.com/track/493h85YXHYDKA9jXhUxajA,2018-02-01,ph
172,Simpleng Tao,Gloc 9,23533,https://open.spotify.com/track/6bMSUhAmaAGTb5RTTuzWE3,2018-02-01,ph
173,Bartier Cardi (feat. 21 Savage),Cardi B,23430,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,2018-02-01,ph
174,Your Song,Rita Ora,23383,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2018-02-01,ph
175,Someday,Nina,23364,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT,2018-02-01,ph
176,Look What You Made Me Do,Taylor Swift,23278,https://open.spotify.com/track/5troof8mcGO3AafoDbk1gc,2018-02-01,ph
177,Chasing Cars,Snow Patrol,23186,https://open.spotify.com/track/11bD1JtSjlIgKgZG2134DZ,2018-02-01,ph
178,Kiss Me,Sixpence None The Richer,23165,https://open.spotify.com/track/754kgU5rWscRTfvlsuEwFp,2018-02-01,ph
179,pink skies,LANY,23128,https://open.spotify.com/track/54i6YAQkZImwWjmzPrQeqd,2018-02-01,ph
180,Hate That I Love You,Rihanna,23080,https://open.spotify.com/track/73sEFRISCOmunToMJtjuPS,2018-02-01,ph
181,Supermarket Flowers,Ed Sheeran,22943,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG,2018-02-01,ph
182,Terrified,Katharine McPhee,22694,https://open.spotify.com/track/6vtOX9riyVzwJxj2SYTuES,2018-02-01,ph
183,There's Nothing Holdin' Me Back,Shawn Mendes,22604,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2018-02-01,ph
184,Lucky,Jason Mraz,22600,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6,2018-02-01,ph
185,Best Part (feat. Daniel Caesar),H.E.R.,22592,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2018-02-01,ph
186,Lost Stars,Adam Levine,22564,https://open.spotify.com/track/1ejtHfSXQwvaAU7F82FXww,2018-02-01,ph
187,Nobody Compares To You,Gryffin,22461,https://open.spotify.com/track/0W363qrIc4GwuwOqa0WAEO,2018-02-01,ph
188,Échame La Culpa,Luis Fonsi,22460,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-02-01,ph
189,Leaves,Ben&Ben,22439,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2018-02-01,ph
190,I'll Never Go,Erik Santos,22327,https://open.spotify.com/track/4ub59HeXqdYApJtkJqnvXE,2018-02-01,ph
191,Pusong Ligaw,Jericho Rosales,22243,https://open.spotify.com/track/14pj36HKHd6c72njvGVPWU,2018-02-01,ph
192,You,Jona,22208,https://open.spotify.com/track/4OjORl39ULsmkJHOPbOOPJ,2018-02-01,ph
193,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,22159,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF,2018-02-01,ph
194,Get You (feat. Kali Uchis),Daniel Caesar,22141,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ,2018-02-01,ph
195,Sucker for You,Matt Terry,22122,https://open.spotify.com/track/4vkVvmjIiQibQ6zJnC1Q9z,2018-02-01,ph
196,Tell Me You Love Me,Demi Lovato,22118,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj,2018-02-01,ph
197,Your Body Is a Wonderland,John Mayer,22063,https://open.spotify.com/track/7vFv0yFGMJW3qVXbAd9BK9,2018-02-01,ph
198,Gorgeous,Taylor Swift,21641,https://open.spotify.com/track/7ut4Y7gxOFe3d3rLJQ7i5w,2018-02-01,ph
199,I'll Make Love To You,Boyz II Men,21469,https://open.spotify.com/track/61sQYdFNS6sEBYCyr1q5gn,2018-02-01,ph
200,Fall for You (Acoustic),Secondhand Serenade,21412,https://open.spotify.com/track/5V7mTIcXVU9k2JNu0mE6vy,2018-02-01,ph
1,Hayaan Mo Sila,Ex Battalion,231240,https://open.spotify.com/track/7MrDfa1uQGVXx0JMZ2u5tN,2018-02-02,ph
2,IDGAF,Dua Lipa,191393,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-02-02,ph
3,Havana (feat. Young Thug),Camila Cabello,170261,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-02-02,ph
4,Finesse - Remix; feat. Cardi B,Bruno Mars,144480,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-02-02,ph
5,Perfect,Ed Sheeran,141296,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-02-02,ph
6,Too Good At Goodbyes,Sam Smith,135508,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2018-02-02,ph
